Endpoint,Max cost,Pruning?,Rules,Dataset,Query,Average query generation time,Full tree exploration time,Generated queries
local,2.0,No,10,http://localhost:3030/full_ahp_corpus,PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#> PREFIX dcterms: <http://purl.org/dc/terms/>  SELECT ?l ?dest ?d WHERE {     ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .     ?l ahpo:sentTo ?dest .      ?dest dcterms:title ?name .     ?l ahpo:writingDate ?d .     ?l ahpo:citeName <http://henripoincare.fr/api/items/333> }   LIMIT 50 ,1.33338,1.6110512,1
distant,4.0,Yes,10,http://localhost:3030/full_ahp_corpus,PREFIX ahpo: <http://e-hp.ahp-numerique.fr/ahpo#> PREFIX dcterms: <http://purl.org/dc/terms/>  SELECT ?l ?dest ?d WHERE {     ?l ahpo:sentBy <http://henripoincare.fr/api/items/843> .     ?l ahpo:sentTo ?dest .  }   LIMIT 50 ,0.23249545,0.4788956,2
